suburb,zone,avg_rent_sqm_per_year_aud,data_type,source,source_url,notes
Sydney CBD,CBD Prime,1771,Real data,"Smart Business Plans AU / CBRE Q3 2024","https://www.smartbusinessplans.com.au/business-finance/sydney-commercial-property-market-update-november-2025/","Average gross CBD retail rental rate. CBD retail vacancy at 7.4% in H1 2024"
Macquarie Park,North Suburbs,350,Real listing,"CommercialRealEstate.com.au listing","https://www.commercialrealestate.com.au/for-lease/macquarie+park-nsw-2113/retail/","Actual listing: $350 gross/sqm - retail near Macquarie Shopping Centre, suitable for cafe/restaurant"
Parramatta,Western Sydney,225,Real listing,"CommercialProperty2Sell.com.au","https://www.commercialproperty2sell.com.au/for-lease/nsw/parramatta/retail","Actual listing: from $225/sqm/year. Church Street Mall area"
Parramatta,Western Sydney,350,Real listing,"CommercialProperty2Sell.com.au","https://www.commercialproperty2sell.com.au/for-lease/nsw/parramatta/retail","Actual listing: $350/sqm/year. Higher end Parramatta retail strip"
Woolloomooloo,Inner City,420,Real listing,"CommercialRealEstate.com.au listing","https://www.commercialrealestate.com.au/property/100-william-street-woolloomooloo-nsw-2011-17382667","Actual listing: From $420/sqm - 100 William Street"
Surry Hills,Inner City,900,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Estimate based on inner-city retail market tier. Crown St strip"
Newtown,Inner City,750,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Estimate based on inner-city retail tier. King St strip"
Bondi Beach,Eastern Suburbs,1000,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Estimate based on coastal premium retail. Campbell Pde area"
Bondi Junction,Eastern Suburbs,850,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Shopping centre precinct, strong foot traffic"
Chatswood,North Shore,800,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Major retail hub, Asian F&B dominant"
Crows Nest,North Shore,700,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Dense restaurant strip along Military Rd"
Marrickville,Inner West,500,Indicative estimate,"Gumtree listing reference + market knowledge","https://www.gumtree.com.au/s-real-estate/sydney/cafe+for+lease/k0c9296l3003435","Gumtree listing: cafe lease ~$60k/year (approx 120sqm = ~$500/sqm). Growing food scene"
Manly,Northern Beaches,750,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Tourist + local mix, seasonal variation"
Darlinghurst,Inner City,950,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Oxford St nightlife precinct"
Redfern,Inner City,650,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Gentrifying, good value now"
Hurstville,South Sydney,450,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Asian F&B hub, strong local foot traffic"
Liverpool,Western Sydney,320,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Suburban strip, multicultural community"
Penrith,Western Sydney,280,Indicative estimate,"CBRE Sydney Retail Report Q3 2024 + market knowledge","https://www.cbre.com.au/insights/figures/sydney-retail-figures-q3-2024","No suburb-level public data. Outer suburban, lower competition and rent"
